Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2025-01-10 21:49:50,2025-01-12 02:55:58,UTC-08:00,2025-01-11 11:56:57,2025-01-11 13:21:44,84,Weightlifting,5.6,192.0,143,99,5,0,0,0,0,false,,,
2025-01-08 21:57:58,2025-01-10 02:05:43,UTC-08:00,2025-01-09 06:54:12,2025-01-09 07:59:07,64,Weightlifting,5.3,163.0,153,95,9,2,0,0,0,false,,,
2025-01-02 01:16:12,2025-01-03 00:03:40,UTC-08:00,2025-01-02 15:12:00,2025-01-02 15:29:59,17,Activity,4.8,75.0,155,109,28,3,0,0,0,false,,,
2024-12-31 23:51:32,2025-01-02 01:16:12,UTC-08:00,2025-01-01 14:06:00,2025-01-01 15:04:29,58,Running,13.0,688.0,178,149,12,60,27,0,0,false,,,
2024-12-29 21:16:38,2024-12-31 00:39:31,UTC-08:00,2024-12-30 14:46:30,2024-12-30 15:41:59,55,Running,13.5,683.0,178,151,8,24,60,1,0,false,,,
2024-12-26 21:33:16,2024-12-27 19:24:59,UTC-08:00,2024-12-27 14:46:30,2024-12-27 15:29:59,43,Activity,5.6,157.0,141,108,10,0,0,0,0,false,,,
2024-12-26 00:44:31,2024-12-26 21:33:16,UTC-08:00,2024-12-26 15:12:00,2024-12-26 15:29:59,17,Activity,4.2,39.0,133,92,3,0,0,0,0,false,,,
2024-12-26 00:44:31,2024-12-26 21:33:16,UTC-08:00,2024-12-26 11:40:30,2024-12-26 11:55:29,14,Activity,4.5,54.0,146,108,16,1,0,0,0,false,,,
2024-12-22 22:58:37,2024-12-23 22:07:01,UTC-08:00,2024-12-23 16:07:30,2024-12-23 16:46:29,38,Running,12.6,521.0,184,156,5,25,66,4,0,false,,,
2024-12-20 23:23:53,2024-12-22 00:02:12,UTC-08:00,2024-12-21 11:39:00,2024-12-21 12:01:29,22,Activity,4.8,87.0,147,107,17,1,0,0,0,false,,,
2024-12-19 22:57:03,2024-12-20 23:23:53,UTC-08:00,2024-12-20 16:13:30,2024-12-20 16:58:29,44,Running,12.9,577.0,178,154,4,22,69,1,0,false,,,
2024-12-18 22:20:00,2024-12-19 22:57:03,UTC-08:00,2024-12-19 18:18:00,2024-12-19 18:46:29,28,Powerlifting,5.0,102.0,148,107,18,2,0,0,0,false,,,
2024-12-15 23:51:00,2024-12-16 23:40:12,UTC-08:00,2024-12-16 18:36:00,2024-12-16 19:13:29,37,Running,12.3,488.0,179,154,4,23,65,5,0,false,,,
2024-12-14 21:42:03,2024-12-15 23:51:00,UTC-08:00,2024-12-15 10:18:00,2024-12-15 10:47:59,29,Activity,4.7,81.0,148,99,12,0,0,0,0,false,,,
2024-12-13 23:22:11,2024-12-14 21:42:03,UTC-08:00,2024-12-14 10:39:00,2024-12-14 11:20:59,41,Activity,5.0,109.0,150,101,5,1,0,0,0,false,,,
2024-12-12 22:41:05,2024-12-13 23:22:11,UTC-08:00,2024-12-13 18:10:30,2024-12-13 18:44:59,34,Running,11.7,441.0,180,153,3,33,55,5,0,false,,,
2024-12-08 23:18:04,2024-12-09 21:58:39,UTC-08:00,2024-12-09 16:05:28,2024-12-09 16:39:18,33,Running,12.4,475.0,182,159,0,15,81,4,0,false,,,
2024-12-07 02:28:02,2024-12-08 03:06:28,UTC-06:00,2024-12-07 14:07:30,2024-12-07 15:07:29,59,Activity,6.8,267.0,159,111,22,4,0,0,0,false,,,
2024-12-06 02:15:30,2024-12-07 02:28:02,UTC-06:00,2024-12-06 19:27:00,2024-12-06 20:08:59,41,Running,13.0,561.0,181,156,5,24,67,2,0,false,,,
2024-12-03 01:02:57,2024-12-03 23:58:08,UTC-06:00,2024-12-03 19:36:00,2024-12-03 20:11:59,35,Running,12.0,455.0,176,152,6,27,59,2,0,false,,,
2024-12-01 23:23:59,2024-12-03 01:02:57,UTC-06:00,2024-12-02 20:28:30,2024-12-02 21:07:29,38,Activity,5.4,136.0,143,107,8,0,0,0,0,false,,,
2024-12-01 01:55:50,2024-12-01 23:23:59,UTC-06:00,2024-12-01 15:18:00,2024-12-01 16:05:59,47,Running,11.9,510.0,185,143,12,40,27,3,0,false,,,
2024-11-17 01:00:46,2024-11-17 20:43:21,UTC-08:00,2024-11-17 14:04:30,2024-11-17 14:19:29,14,Spin,4.6,63.0,162,110,19,8,0,0,0,false,,,
2024-11-11 22:16:54,2024-11-12 23:57:50,UTC-08:00,2024-11-12 11:52:30,2024-11-12 12:07:29,14,Spin,5.7,123.0,165,130,12,49,34,5,0,false,,,
2024-11-11 22:16:54,2024-11-12 23:57:50,UTC-08:00,2024-11-12 06:58:30,2024-11-12 07:20:59,22,Weightlifting,4.4,53.0,132,97,54,8,0,0,0,false,,,
2024-11-10 22:11:49,2024-11-11 22:16:54,UTC-08:00,2024-11-11 15:57:00,2024-11-11 16:31:29,34,Running,9.7,358.0,178,141,8,10,74,5,0,false,,,
2024-11-07 23:36:42,2024-11-08 22:15:39,UTC-08:00,2024-11-08 16:16:30,2024-11-08 16:59:59,43,Running,13.2,576.0,182,155,0,12,26,61,1,false,,,
2024-11-03 22:17:03,2024-11-04 23:10:00,UTC-08:00,2024-11-04 19:06:00,2024-11-04 20:19:29,73,Activity,10.3,546.0,161,125,13,48,31,0,0,false,,,
2024-11-02 00:39:25,2024-11-02 22:19:19,UTC-07:00,2024-11-02 15:22:30,2024-11-02 15:59:59,37,Running,11.7,478.0,172,153,0,2,82,16,0,false,,,
2024-10-31 23:50:20,2024-11-02 00:39:25,UTC-07:00,2024-11-01 18:04:30,2024-11-01 18:20:59,16,Activity,4.6,63.0,154,106,48,24,8,0,0,false,,,
2024-10-26 00:03:59,2024-10-26 23:47:10,UTC-07:00,2024-10-26 15:03:00,2024-10-26 15:29:59,26,Activity,4.9,88.0,146,106,54,25,3,0,0,false,,,
2024-10-24 23:51:34,2024-10-26 00:03:59,UTC-07:00,2024-10-25 17:14:55,2024-10-25 17:52:15,37,Running,12.7,514.0,177,158,0,1,38,61,0,false,,,
2024-10-23 21:46:46,2024-10-24 23:51:34,UTC-07:00,2024-10-24 18:19:30,2024-10-24 18:59:59,40,Activity,5.9,179.0,157,111,50,31,7,0,0,false,,,
2024-10-22 22:21:32,2024-10-23 21:46:46,UTC-07:00,2024-10-23 17:25:27,2024-10-23 17:57:38,32,Running,11.9,437.0,179,157,0,1,39,60,0,false,,,
2024-10-21 22:59:24,2024-10-22 22:21:32,UTC-07:00,2024-10-22 06:50:13,2024-10-22 07:47:02,56,Weightlifting,4.3,86.0,131,84,27,2,0,0,0,false,,,
2024-10-20 22:22:44,2024-10-21 22:59:24,UTC-07:00,2024-10-21 17:31:42,2024-10-21 17:59:38,27,Running,10.8,363.0,174,154,1,3,43,53,0,false,,,
2024-10-18 23:42:08,2024-10-20 00:16:07,UTC-07:00,2024-10-19 15:12:00,2024-10-19 16:11:59,59,Running,13.4,729.0,176,150,0,6,72,22,0,false,,,
2024-10-16 22:29:51,2024-10-17 23:52:10,UTC-07:00,2024-10-17 17:42:00,2024-10-17 18:16:29,34,Running,12.1,451.0,178,155,4,7,25,64,0,false,,,
2024-10-13 22:16:38,2024-10-14 23:21:01,UTC-07:00,2024-10-14 11:03:34,2024-10-14 11:35:00,31,Running,9.4,343.0,174,144,2,14,70,13,0,false,,,
2024-10-12 22:17:04,2024-10-13 22:16:38,UTC-07:00,2024-10-13 17:13:30,2024-10-13 17:55:29,41,Activity,5.6,153.0,142,108,65,26,0,0,0,false,,,
2024-10-12 00:59:47,2024-10-12 22:17:04,UTC-07:00,2024-10-12 12:43:15,2024-10-12 13:15:55,32,Running,11.1,415.0,173,153,0,3,67,30,0,false,,,
2024-10-07 22:29:58,2024-10-09 01:22:34,UTC-07:00,2024-10-08 18:04:32,2024-10-08 18:34:04,29,Running,12.1,423.0,176,161,0,1,19,80,0,false,,,
2024-10-06 23:15:59,2024-10-07 22:29:58,UTC-07:00,2024-10-07 18:30:00,2024-10-07 19:11:59,41,Activity,5.4,143.0,154,105,53,21,2,0,0,false,,,
2024-10-04 22:48:00,2024-10-06 00:50:05,UTC-07:00,2024-10-05 08:24:53,2024-10-05 13:25:52,300,Hiking,15.0,1691.0,160,117,37,45,11,0,0,false,,,
2024-10-03 23:09:56,2024-10-04 22:48:00,UTC-07:00,2024-10-04 18:31:30,2024-10-04 19:23:59,52,Activity,7.0,280.0,152,116,50,44,5,0,0,false,,,
2024-09-27 21:54:35,2024-09-28 19:56:38,UTC-07:00,2024-09-28 09:33:00,2024-09-28 10:23:59,50,Hiking,8.4,385.0,158,128,10,74,16,0,0,false,,,
2024-09-27 21:54:35,2024-09-28 19:56:38,UTC-07:00,2024-09-28 08:21:00,2024-09-28 09:17:59,56,Hiking,10.7,513.0,162,135,13,36,50,1,0,false,,,
2024-09-21 22:38:27,2024-09-22 22:18:40,UTC-07:00,2024-09-22 13:52:30,2024-09-22 14:28:29,35,Running,11.4,448.0,173,152,1,6,63,30,0,false,,,
2024-09-18 22:39:21,2024-09-20 00:32:23,UTC-07:00,2024-09-19 20:18:00,2024-09-19 21:11:59,53,Walking,7.2,287.0,151,116,36,42,11,0,0,false,,,
2024-09-17 23:15:04,2024-09-18 22:39:21,UTC-07:00,2024-09-18 18:15:00,2024-09-18 19:13:29,58,Activity,9.6,467.0,153,130,13,58,28,0,0,false,,,
2024-09-16 22:41:03,2024-09-17 23:15:04,UTC-07:00,2024-09-17 18:09:00,2024-09-17 18:38:59,29,Running,10.7,384.0,173,154,0,4,75,21,0,false,,,
2024-09-10 22:05:23,2024-09-12 00:10:52,UTC-07:00,2024-09-11 19:18:00,2024-09-11 20:01:29,43,Spin,8.5,333.0,169,127,15,40,35,3,0,false,,,
2024-09-09 22:08:53,2024-09-10 22:05:23,UTC-07:00,2024-09-10 18:39:00,2024-09-10 19:02:59,23,Running,8.9,275.0,175,147,5,15,51,29,0,false,,,
2024-09-08 22:29:17,2024-09-09 22:08:53,UTC-07:00,2024-09-09 18:17:58,2024-09-09 19:01:58,44,Strength Trainer,7.6,67.0,145,91,30,3,0,0,0,false,,,
2024-09-06 21:37:41,2024-09-07 21:37:41,UTC-07:00,2024-09-07 20:12:00,2024-09-07 20:40:29,28,Activity,5.5,140.0,162,115,53,40,4,0,0,false,,,
2024-09-05 23:20:39,2024-09-06 21:37:41,UTC-07:00,2024-09-06 11:30:00,2024-09-06 13:10:29,100,Hiking,10.3,616.0,154,122,28,57,12,0,0,false,,,
